Row,Primary Type,Arrest,District,Year,Latitude,Longitude,min_distance2police,Values,date_column
1160731,THEFT,False,16.0,2011,41.997335453000005,-87.762608606,0.022078915372654048,1,2011-07-01 16:55:00
1160736,THEFT,False,2.0,2011,41.81664984,-87.615873945,0.025502892488567713,1,2011-07-05 03:30:00
1160737,BATTERY,True,11.0,2011,41.88068763,-87.728982876,0.030785238449673583,1,2011-07-06 02:36:00
1160756,ASSAULT,False,8.0,2011,41.80779181,-87.703963414,0.003708362927270232,1,2011-07-07 15:00:00
1160758,THEFT,False,6.0,2011,41.748536319,-87.60146885,0.008684308209846208,1,2011-07-09 01:50:00
1160761,BATTERY,True,12.0,2011,41.868886815,-87.65795968200001,0.02132552649977921,1,2011-07-11 22:36:00
1160767,THEFT,False,1.0,2011,41.873101883000004,-87.62915865,0.02589643804883204,1,2011-07-13 11:50:00
1160771,BATTERY,False,10.0,2011,41.866303171,-87.71421287,0.021258008972010696,1,2011-07-12 12:00:00
1160772,THEFT,False,18.0,2011,41.91705863,-87.65090457,0.01751498186970919,1,2011-07-14 22:00:00
1160774,THEFT,False,2.0,2011,41.828725301999995,-87.62571554,0.020031343521114478,1,2011-07-13 08:30:00
1160779,ASSAULT,False,19.0,2011,41.964931277,-87.684475643,0.023663858498827295,1,2011-07-18 14:24:00
1160789,BATTERY,True,15.0,2011,41.88028689,-87.761661062,0.01656556774749347,1,2011-07-21 17:10:00
1160790,ASSAULT,False,11.0,2011,41.871058927,-87.69663887600001,0.010270480583012505,1,2011-07-22 23:30:00
1160798,BATTERY,False,17.0,2011,41.97012549,-87.722383285,0.023029083679583173,1,2011-07-26 15:10:00
1160804,ASSAULT,True,7.0,2011,41.766609758,-87.674857891,0.020712932380532505,1,2011-07-28 22:20:00
1160807,THEFT,False,10.0,2011,41.863357461999996,-87.73365426,0.009634493424959428,1,2011-07-27 00:01:00
1160809,THEFT,False,7.0,2011,41.779675318,-87.64994702,0.01967434518156868,1,2011-07-30 16:00:00
1160821,THEFT,False,1.0,2011,41.877633028000005,-87.63371352899999,0.03272839607202047,1,2011-07-30 22:08:00
1160822,BATTERY,False,17.0,2011,41.972027151,-87.7126495,0.03195535511361865,1,2011-08-04 04:30:00
1160830,ASSAULT,True,2.0,2011,41.78924943,-87.621804576,0.03463947289518946,1,2011-08-06 11:49:00
1160831,BATTERY,False,7.0,2011,41.781270625,-87.665967112,0.02720612432074572,1,2011-08-06 18:00:00
1160832,THEFT,True,4.0,2011,41.757489719,-87.55614733,0.0071090601152222505,1,2011-08-06 22:35:00
1160838,THEFT,True,9.0,2011,41.80803458,-87.63260798399999,0.04863066327199496,1,2011-08-08 07:30:00
1160839,BATTERY,False,25.0,2011,41.90616447,-87.734084055,0.006537475273209281,1,2011-08-09 15:00:00
1160841,BATTERY,False,7.0,2011,41.76948433,-87.65666091700001,0.02653662589693414,1,2011-08-09 21:30:00
1160849,ASSAULT,True,12.0,2011,41.879056794,-87.64727716,0.02130312202600301,1,2011-08-12 01:10:00
1160851,BATTERY,False,3.0,2011,41.766247876,-87.575623169,0.0028315012611764786,1,2011-08-12 20:00:00
1160854,THEFT,False,19.0,2011,41.96245015,-87.64255203,0.027401130061052624,1,2011-08-12 09:00:00
1160863,ASSAULT,False,8.0,2011,41.764493905,-87.695780161,0.03136826749564175,1,2011-08-15 18:00:00
1160864,THEFT,False,1.0,2011,41.879667054,-87.63696315,0.005543998292725992,1,2011-08-15 17:00:00
1160869,THEFT,False,19.0,2011,41.936470471,-87.66854502,0.020494105882163934,1,2011-08-18 18:30:00
1160877,BATTERY,False,3.0,2011,41.765162688000004,-87.624896894,0.009946091944006303,1,2011-08-23 01:25:00
1160878,THEFT,False,22.0,2011,41.69228342,-87.64822565600001,0.0040099740209242896,1,2011-08-21 17:15:00
1160880,BATTERY,False,12.0,2011,41.89039523,-87.647607586,0.022116565936046016,1,2011-08-21 04:30:00
1160884,ASSAULT,False,4.0,2011,41.751317166999996,-87.56380045600001,0.03622016428466028,1,2011-08-27 19:40:00
1160888,THEFT,False,4.0,2011,41.707756212,-87.580708771,0.03785204169743776,1,2011-08-18 12:00:00
1160895,BATTERY,True,22.0,2011,41.734881215,-87.667909418,0.030405259427108793,1,2011-09-04 02:45:00
1160896,ARSON,False,8.0,2011,41.80234067,-87.72673419,0.013725042529441466,1,2011-09-04 01:00:00
1160897,ROBBERY,False,6.0,2011,41.75395833,-87.66626111299999,0.022471539752173576,1,2011-09-05 00:56:00
1160902,THEFT,False,8.0,2011,41.76838123,-87.678945374,0.0353976198644097,1,2011-09-06 15:00:00
1160908,ASSAULT,False,15.0,2011,41.887983008,-87.77361270700001,0.030902419635840714,1,2011-09-09 18:00:00
1160914,BATTERY,False,10.0,2011,41.852472938000005,-87.73297779100001,0.015012066396866188,1,2011-09-14 15:40:00
1160919,THEFT,False,4.0,2011,41.751610161,-87.57567807,0.0064368796747663005,1,2011-09-14 14:30:00
1160921,THEFT,False,9.0,2011,41.82431282,-87.710592783,0.01437558048115968,1,2011-09-03 09:15:00
1160929,ASSAULT,False,6.0,2011,41.743445021999996,-87.60137277,0.012283749573864283,1,2011-09-21 06:15:00
1160931,BATTERY,True,6.0,2011,41.756057234000004,-87.65492915799999,0.01484877871535143,1,2011-09-21 22:15:00
1160936,THEFT,False,19.0,2011,41.933270602,-87.63930945,0.016324313073455502,1,2011-07-31 00:01:00
1160937,ASSAULT,True,1.0,2011,41.879297705,-87.62770627100001,0.02566165392657344,1,2011-09-23 09:45:00
