crime,arrest,date,latitude,longitude,domestic,district,FBI_code,year,month,hour,day,dayofweek,weekofyear,quarter
RETAIL THEFT,True,2018-12-06 11:27:00,41.895003278000004,-87.62152816,False,18.0,6,2018,12,11,6,3,49,4
RETAIL THEFT,True,2018-12-06 10:10:00,41.750490827,-87.65430247399998,False,6.0,6,2018,12,10,6,3,49,4
OVER $500,False,2018-12-06 12:00:00,41.682491751,-87.626939306,False,5.0,6,2018,12,12,6,3,49,4
RETAIL THEFT,True,2018-12-06 11:03:00,41.928235818000005,-87.682084152,False,14.0,6,2018,12,11,6,3,49,4
RETAIL THEFT,True,2018-12-06 11:28:00,41.945238279,-87.712670479,False,17.0,6,2018,12,11,6,3,49,4
OVER $500,False,2018-12-06 09:00:00,41.772963171,-87.722619226,False,8.0,6,2018,12,9,6,3,49,4
RETAIL THEFT,False,2018-12-06 11:25:00,41.880075611,-87.639628321,False,1.0,6,2018,12,11,6,3,49,4
RETAIL THEFT,True,2018-12-06 09:30:00,41.780415657,-87.60560879399998,False,3.0,6,2018,12,9,6,3,49,4
OVER $500,False,2018-12-06 08:30:00,41.750389805,-87.63065532200001,False,6.0,6,2018,12,8,6,3,49,4
RETAIL THEFT,True,2018-12-06 06:30:00,41.903127744,-87.632035705,False,18.0,6,2018,12,6,6,3,49,4
OVER $500,False,2018-09-04 12:30:00,41.799652363,-87.61772495,False,2.0,6,2018,9,12,4,1,36,3
OVER $500,False,2018-12-04 20:00:00,41.945630587,-87.64341366299999,False,19.0,6,2018,12,20,4,1,49,4
OVER $500,False,2018-12-05 10:39:00,41.777670858,-87.61556066,False,3.0,6,2018,12,10,5,2,49,4
RETAIL THEFT,False,2018-09-29 10:53:00,41.928076536,-87.78560618600002,False,25.0,6,2018,9,10,29,5,39,3
OVER $500,False,2018-12-06 04:37:00,42.011889534,-87.70763307600002,False,24.0,6,2018,12,4,6,3,49,4
RETAIL THEFT,False,2018-12-06 03:15:00,41.94933263,-87.64847244,False,19.0,6,2018,12,3,6,3,49,4
OVER $500,False,2018-12-06 18:30:00,41.919059994,-87.775553164,False,25.0,6,2018,12,18,6,3,49,4
OVER $500,False,2018-12-06 17:00:00,41.76006829,-87.562097869,False,3.0,6,2018,12,17,6,3,49,4
OVER $500,False,2018-12-06 19:07:00,41.874060099,-87.705924314,False,11.0,6,2018,12,19,6,3,49,4
OVER $500,False,2018-12-06 18:30:00,41.7750266,-87.665364618,False,7.0,6,2018,12,18,6,3,49,4
RETAIL THEFT,False,2018-12-06 10:56:00,41.932191945999996,-87.64474923,False,19.0,6,2018,12,10,6,3,49,4
OVER $500,False,2018-12-06 20:00:00,41.740341738000005,-87.55997793899998,False,4.0,6,2018,12,20,6,3,49,4
OVER $500,False,2018-12-06 15:00:00,41.795003027,-87.710938936,False,8.0,6,2018,12,15,6,3,49,4
