crime,subcrime,year,arrest,total
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2015,True,19
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2016,False,25
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2016,True,14
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2017,False,32
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2017,True,16
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2018,False,43
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2018,True,28
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2008,False,16
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2008,True,4
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2009,False,8
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2009,True,4
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2010,False,3
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2011,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2011,True,3
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2012,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2013,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2014,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2014,True,3
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2015,False,2
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2015,True,2
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2016,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2016,True,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2017,True,1
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2008,False,34
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2008,True,26
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2009,False,50
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2009,True,40
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2010,False,45
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2010,True,34
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2011,False,26
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2011,True,14
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2012,False,14
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2012,True,10
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2013,False,11
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2013,True,10
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2014,False,16
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2014,True,12
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2015,False,8
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2015,True,9
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2016,False,21
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2016,True,18
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2017,False,21
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2017,True,19
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2018,False,30
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2018,True,17
ASSAULT,AGGRAVATED PO: HANDGUN,2008,False,60
ASSAULT,AGGRAVATED PO: HANDGUN,2008,True,94
ASSAULT,AGGRAVATED PO: HANDGUN,2009,False,34
ASSAULT,AGGRAVATED PO: HANDGUN,2009,True,122
ASSAULT,AGGRAVATED PO: HANDGUN,2010,False,31
ASSAULT,AGGRAVATED PO: HANDGUN,2010,True,85
ASSAULT,AGGRAVATED PO: HANDGUN,2011,False,19
ASSAULT,AGGRAVATED PO: HANDGUN,2011,True,59
ASSAULT,AGGRAVATED PO: HANDGUN,2012,False,17
ASSAULT,AGGRAVATED PO: HANDGUN,2012,True,51
ASSAULT,AGGRAVATED PO: HANDGUN,2013,False,13
ASSAULT,AGGRAVATED PO: HANDGUN,2013,True,25
ASSAULT,AGGRAVATED PO: HANDGUN,2014,False,21
ASSAULT,AGGRAVATED PO: HANDGUN,2014,True,37
ASSAULT,AGGRAVATED PO: HANDGUN,2015,False,16
ASSAULT,AGGRAVATED PO: HANDGUN,2015,True,38
ASSAULT,AGGRAVATED PO: HANDGUN,2016,False,27
ASSAULT,AGGRAVATED PO: HANDGUN,2016,True,30
ASSAULT,AGGRAVATED PO: HANDGUN,2017,False,18
ASSAULT,AGGRAVATED PO: HANDGUN,2017,True,19
ASSAULT,AGGRAVATED PO: HANDGUN,2018,False,16
ASSAULT,AGGRAVATED PO: HANDGUN,2018,True,19
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2008,False,42
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2008,True,90
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2009,False,52
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2009,True,164
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2010,False,56
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2010,True,126
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2011,False,32
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2011,True,79
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2012,False,6
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2012,True,50
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2013,False,17
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2013,True,45
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2014,False,10
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2014,True,44
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2015,False,17
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2015,True,55
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2016,False,18
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2016,True,27
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2017,False,25
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2017,True,40
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2018,False,17
ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,2018,True,28
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2008,True,10
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2009,False,4
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2009,True,18
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2010,False,6
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2010,True,8
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2011,True,4
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2012,False,2
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2012,True,2
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2013,False,2
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2013,True,1
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2014,False,2
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2014,True,1
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2015,True,3
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2016,False,1
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2016,True,1
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2017,False,1
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2017,True,1
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2018,False,1
ASSAULT,AGGRAVATED PO: OTHER FIREARM,2018,True,1
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2008,False,34
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2008,True,24
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2009,False,50
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2009,True,44
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2010,False,43
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2010,True,49
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2011,False,21
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2011,True,28
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2012,False,19
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2012,True,16
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2013,False,16
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2013,True,15
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2014,False,19
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2014,True,17
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2015,False,13
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2015,True,15
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2016,False,25
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2016,True,7
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2017,False,16
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2017,True,10
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2018,False,15
ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,2018,True,11
ASSAULT,AGGRAVATED: HANDGUN,2008,False,3834
ASSAULT,AGGRAVATED: HANDGUN,2008,True,1332
ASSAULT,AGGRAVATED: HANDGUN,2009,False,3608
ASSAULT,AGGRAVATED: HANDGUN,2009,True,1256
ASSAULT,AGGRAVATED: HANDGUN,2010,False,2987
ASSAULT,AGGRAVATED: HANDGUN,2010,True,1079
ASSAULT,AGGRAVATED: HANDGUN,2011,False,1495
ASSAULT,AGGRAVATED: HANDGUN,2011,True,548
ASSAULT,AGGRAVATED: HANDGUN,2012,False,1482
ASSAULT,AGGRAVATED: HANDGUN,2012,True,598
ASSAULT,AGGRAVATED: HANDGUN,2013,False,1299
ASSAULT,AGGRAVATED: HANDGUN,2013,True,478
ASSAULT,AGGRAVATED: HANDGUN,2014,False,1331
ASSAULT,AGGRAVATED: HANDGUN,2014,True,464
ASSAULT,AGGRAVATED: HANDGUN,2015,False,1508
ASSAULT,AGGRAVATED: HANDGUN,2015,True,464
ASSAULT,AGGRAVATED: HANDGUN,2016,False,2357
ASSAULT,AGGRAVATED: HANDGUN,2016,True,498
ASSAULT,AGGRAVATED: HANDGUN,2017,False,2371
ASSAULT,AGGRAVATED: HANDGUN,2017,True,519
ASSAULT,AGGRAVATED: HANDGUN,2018,False,2281
ASSAULT,AGGRAVATED: HANDGUN,2018,True,472
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2008,False,2120
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2008,True,874
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2009,False,1964
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2009,True,924
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2010,False,1909
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2010,True,723
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2011,False,799
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2011,True,417
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2012,False,769
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2012,True,319
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2013,False,639
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2013,True,268
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2014,False,611
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2014,True,307
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2015,False,673
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2015,True,275
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2016,False,767
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2016,True,233
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2017,False,845
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2017,True,243
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2018,False,855
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,2018,True,213
ASSAULT,AGGRAVATED: OTHER FIREARM,2008,False,122
ASSAULT,AGGRAVATED: OTHER FIREARM,2008,True,94
ASSAULT,AGGRAVATED: OTHER FIREARM,2009,False,118
ASSAULT,AGGRAVATED: OTHER FIREARM,2009,True,78
ASSAULT,AGGRAVATED: OTHER FIREARM,2010,False,99
ASSAULT,AGGRAVATED: OTHER FIREARM,2010,True,64
ASSAULT,AGGRAVATED: OTHER FIREARM,2011,False,67
ASSAULT,AGGRAVATED: OTHER FIREARM,2011,True,44
ASSAULT,AGGRAVATED: OTHER FIREARM,2012,False,47
ASSAULT,AGGRAVATED: OTHER FIREARM,2012,True,40
ASSAULT,AGGRAVATED: OTHER FIREARM,2013,False,41
ASSAULT,AGGRAVATED: OTHER FIREARM,2013,True,37
ASSAULT,AGGRAVATED: OTHER FIREARM,2014,False,36
ASSAULT,AGGRAVATED: OTHER FIREARM,2014,True,38
ASSAULT,AGGRAVATED: OTHER FIREARM,2015,False,55
ASSAULT,AGGRAVATED: OTHER FIREARM,2015,True,28
ASSAULT,AGGRAVATED: OTHER FIREARM,2016,False,75
ASSAULT,AGGRAVATED: OTHER FIREARM,2016,True,26
ASSAULT,AGGRAVATED: OTHER FIREARM,2017,False,56
ASSAULT,AGGRAVATED: OTHER FIREARM,2017,True,30
ASSAULT,AGGRAVATED: OTHER FIREARM,2018,False,70
ASSAULT,AGGRAVATED: OTHER FIREARM,2018,True,24
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2008,False,2348
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2008,True,1076
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2009,False,1988
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2009,True,1138
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2010,False,1737
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2010,True,831
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2011,False,913
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2011,True,477
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2012,False,914
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2012,True,479
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2013,False,835
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2013,True,467
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2014,False,779
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2014,True,450
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2015,False,773
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2015,True,441
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2016,False,936
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2016,True,401
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2017,False,1027
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2017,True,437
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2018,False,1079
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,2018,True,396
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2008,False,1598
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2008,True,964
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2009,False,1174
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2009,True,888
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2010,False,1131
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2010,True,781
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2011,False,480
